product_id,product_category
0884271137,Books
0606118667,Books
0679758976,Books
0553502077,Books
1856957071,Books
0877207534,Books
0899668380,Books
0451526384,Books
0893815187,Books
0060900075,Books
0062513346,Books
0787105465,Books
0026009102,Books
0140432051,Books
0553476580,Books
6304106017,Video
0140131558,Books
0140001115,Books
0140042520,Books
079271735X,Books
0449000729,Books
0875845851,Books
0679409866,Books
0807029181,Books
0140011749,Books
0671570439,Books
0345286200,Books
6300248550,Video
0553472836,Books
0783221487,Video
0393307050,Books
630237250X,Video
1853715085,Books
B000002H2H,Music
0848812077,Books
0783814127,Books
B000002AS3,Music
0316286869,Books
0194314227,Books
031286504X,Books
0399142533,Books
6302732778,Video
0070511136,Books
0679450254,Books
0786101970,Books
6303908306,Video
B00000264Y,Music
B000002HHB,Music
0515071439,Books
006109594X,Books
0316381357,Books
0553269704,Books
0316779989,Books
0899664474,Books
067182161X,Books
0899668585,Books
0060924160,Books
0152438203,Books
0060919760,Books
6303913881,Video DVD
3822884979,Books
006100166X,Books
0671646788,Books
067158037X,Books
1560100842,Books
0606029818,Books
6302293553,Video
0553267787,Books
0891902236,Books
630349255X,Video
6300184064,Video
0876855575,Books
0156907399,Books
0062502174,Books
6304702205,Video
0679438327,Books
0816174865,Books
0273617109,Books
0446604844,Books
0452279178,Books
B000002H33,Music
0606049134,Books
6304432453,Video
0312144210,Books
B0000027I6,Music
0140186395,Books
0553455532,Books
0684801558,Books
0060273232,Books
0962344702,Books
014032870X,Books
0394573439,Books
0061008079,Books
0802713319,Books
0964385619,Books
B000002OK3,Music
0140177396,Books
0385040253,Books
0140186409,Books
156100572X,Books
0316548189,Books
0880793082,Books
6304032579,Video
0465068359,Books
0449215644,Books
0896760839,Books
0440214041,Books
1567407757,Books
6300181251,Video
0140018603,Books
067631743X,Books
1561005533,Books
0696019973,Books
0553471392,Books
0887306128,Books
0553473050,Books
0140158766,Books
6300181553,Video
0606045740,Books
0345423496,Books
B000002HPV,Music
0380018179,Books
0679459529,Books
0679759328,Books
0786880708,Books
0812523334,Books
0552137030,Books
6303481345,Video
0848801571,Books
B000002UJQ,Music
0440224764,Books
089845915X,Books
0307010856,Books
0399208534,Books
6304504012,Video
0440227275,Books
6303443214,Video
B000002AGB,Music
0440219078,Books
1558002065,Books
B000002BBY,Music
B000002C25,Music
044022425X,Books
B000002KCI,Music
0790731231,Video
0451187903,Books
0805054375,Books
0451151224,Books
0030853222,Books
B000002TQV,Music
0312965788,Books
6303282237,Video
B0000033K2,Music
B00000099Y,Music
0688156819,Books
1559946954,Books
9997470036,Books
B000002H4Q,Music
B000002MFN,Music
0553108034,Books
0684823454,Books
0446386898,Books
0553274503,Books
0345347951,Books
0395389496,Books
0345308239,Books
0394720288,Books
1561007773,Books
1568493207,Books
B000001FFJ,Music
0446605409,Books
031218087X,Books
078388088X,Books
B000002BQK,Music
0141301074,Books
6302373921,Video
0745144780,Books
0688062334,Books
0140430962,Books
0140187537,Books
0453009115,Books
6301697707,Video
1558216847,Books
0694515302,Books
1573226521,Books
0893815500,Books
0375701427,Books
0679410503,Books
6300215717,Video
0812523369,Books
0140434267,Books
0061053430,Books
1567312373,Books
0316236551,Books
B000002KDS,Music
6300183971,Video
0877284520,Books
B00000163G,Music
0140074317,Books
6304578458,Video
0899681069,Books
0060392584,Books
B000002WPI,Music
0395645662,Books
1570422052,Books
0688158129,Books
0671502484,Books
630438551X,Video
6303433766,Video
0965295230,Books
6302043158,Video
0670880728,Books
6304675348,Video
B0000039QA,Music
0380799006,Books
0671886231,Books
0679420401,Books
0394548442,Books
0380729407,Books
0553213105,Books
0451526295,Books
1561001988,Books
0785407057,Books
055347359X,Books
6304539487,Video
0020442203,Books
0679405631,Books
0385485921,Books
0385491026,Books
0316236446,Books
B000003NA3,Music
B000002696,Music
0920236162,Books
0060229357,Books
0800199421,Video
0525244581,Books
0140317937,Books
0897500482,Books
0671043013,Books
0140182829,Books
0679746048,Books
0152465030,Books
0064440346,Books
1564029654,Books
0060168366,Books
0451188470,Books
B0000029J5,Music
B00000255X,Music
079073320X,Video
0394800184,Books
0517053616,Books
6300271145,Video
B000001Y79,Music
6301969588,Video
0714837180,Books
0394800389,Books
B0000013GT,Music
1883011159,Books
0399230033,Books
0920668372,Books
B0000028RR,Music
0425129616,Books
B0000028PI,Music
B000002C4J,Music
6304504039,Video
0517118297,Books
055321263X,Books
0553214624,Books
0694003611,Books
B000001Y2U,Music
0380725398,Books
0805241183,Books
0843178140,Books
6303012140,Video
0064471837,Books
0786108673,Books
0723244049,Books
1572522089,Video
156511129X,Books
6303567126,Video
B000002HFU,Music
0316153834,Books
088708026X,Books
0151003084,Books
B0000009SY,Music
6302814782,Video
0679437223,Books
0064431789,Books
1568494157,Books
6304111258,Video
038097617X,Books
0060263857,Books
0552131067,Books
0002171856,Books
0394810112,Books
1558216340,Books
0790733226,Video DVD
B000005HN6,Music
1561387053,Books
055321277X,Books
0679446230,Books
0312952813,Books
0684135051,Books
6304372620,Video
0064400557,Books
0890090572,Books
0723236186,Books
0899661351,Books
0694517992,Books
0345409671,Books
630414542X,Video
0030839939,Books
0316518565,Books
0606118144,Books
0449002632,Books
0792722264,Books
0425074811,Books
0553212478,Books
